short_app	policy_impl	cache_percentage	global_batch_size	dataset_short	coll_cache:solve_time	Step(average) L1 sample	Step(average) L1 recv	Step(average) L2 feat copy	Step(average) L1 train total	Time.L	Time.R	Time.C	Wght.L	Wght.R	Wght.C	optimal_local_rate	optimal_remote_rate	optimal_cpu_rate	Thpt.L	Thpt.R	Thpt.C	SizeGB.L	SizeGB.R	SizeGB.C	coll_cache:local_cache_rate	coll_cache:remote_cache_rate	coll_cache:global_cache_rate	train_process_time	epoch_time:train_total	epoch_time:copy_time	coll_cache:z
dlrm	MPSPhaseCollAsymm	12.000000	65536	CR	5.820000	0.000000	0.000000	0.000501	0.001697	0.000344	0.000247	0.000236	97.608577	1.884615	0.506808	0.989924	0.009092	0.000984	288.179392	7.749241	2.181045	0.099134	0.001914	0.000515	0.119240	0.689888	0.809128	nan	nan	nan	None
dcn	CliqPart	12.000000	65536	CR	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.120000	0	0.120000	nan	nan	nan	None
dcn	MPSPhaseCliqPart	12.000000	65536	CR	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.120000	0	0.120000	nan	nan	nan	None
dcn	Rep	12.000000	65536	CR	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.120000	0	0.120000	nan	nan	nan	None
dcn	MPSPhaseRep	12.000000	65536	CR	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.120000	0	0.120000	nan	nan	nan	None
dcn	MPSPhaseCollAsymm	12.000000	65536	CR	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.120000	0	0.120000	nan	nan	nan	None
dlrm	CliqPart	1.000000	65536	SP_02_S100_C800m	None	0.000000	0.000000	0.003125	0.005828	0.002875	0.000000	0.000000	100.000000	0.000000	0.000000	0.121916	0.853414	0.024670	135.869565	nan	nan	0.390625	0.000000	0.000000	0.010000	0.070000	0.080000	nan	nan	nan	None
dlrm	MPSPhaseCliqPart	1.000000	65536	SP_02_S100_C800m	None	0.000000	0.000000	0.001727	0.004464	0.001184	0.001179	0.001438	12.090000	84.640000	3.270000	0.121916	0.853410	0.024674	39.887299	280.428329	8.882780	0.047227	0.330625	0.012773	0.010000	0.070000	0.080000	nan	nan	nan	None
dlrm	Rep	1.000000	65536	SP_02_S100_C800m	None	0.000000	0.000000	0.004118	0.006779	0.003880	0.000000	0.000000	100.000000	0.000000	0.000000	0.934843	0.000000	0.065157	100.676546	nan	nan	0.390625	0.000000	0.000000	0.010000	0.000000	0.010000	nan	nan	nan	None
dlrm	MPSPhaseRep	1.000000	65536	SP_02_S100_C800m	None	0.000000	0.000000	0.002835	0.005555	0.000712	0.000028	0.002577	93.382500	0.000000	6.617500	0.934837	0.000000	0.065163	512.324987	0.000000	10.030892	0.364775	0.000000	0.025850	0.010000	0.000000	0.010000	nan	nan	nan	None
dlrm	MPSPhaseCollAsymm	1.000000	65536	SP_02_S100_C800m	1.380000	0.000000	0.000000	0.001804	0.004498	0.000775	0.000195	0.001556	90.130000	6.225000	3.645000	0.902354	0.066099	0.031547	454.284274	124.699519	9.150566	0.352070	0.024316	0.014238	0.009584	0.047298	0.056882	nan	nan	nan	None
dcn	CliqPart	1.000000	65536	SP_02_S100_C800m	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.010000	0	0.010000	nan	nan	nan	None
dcn	MPSPhaseCliqPart	1.000000	65536	SP_02_S100_C800m	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.010000	0	0.010000	nan	nan	nan	None
dcn	Rep	1.000000	65536	SP_02_S100_C800m	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.010000	0	0.010000	nan	nan	nan	None
dcn	MPSPhaseRep	1.000000	65536	SP_02_S100_C800m	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.010000	0	0.010000	nan	nan	nan	None
dcn	MPSPhaseCollAsymm	1.000000	65536	SP_02_S100_C800m	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.010000	0	0.010000	nan	nan	nan	None
dlrm	CliqPart	2.000000	65536	SP_02_S100_C800m	None	0.000000	0.000000	0.002947	0.005637	0.002689	0.000000	0.000000	100.000000	0.000000	0.000000	0.123454	0.864177	0.012369	145.267758	nan	nan	0.390625	0.000000	0.000000	0.020000	0.140000	0.160000	nan	nan	nan	None
dlrm	MPSPhaseCliqPart	2.000000	65536	SP_02_S100_C800m	None	0.000000	0.000000	0.001513	0.004228	0.001207	0.001202	0.001209	12.177500	85.230000	2.592500	0.123454	0.864181	0.012365	39.410405	276.979773	8.376305	0.047568	0.332930	0.010127	0.020000	0.140000	0.160000	nan	nan	nan	None
dlrm	Rep	2.000000	65536	SP_02_S100_C800m	None	0.000000	0.000000	0.003704	0.006397	0.003457	0.000000	0.000000	100.000000	0.000000	0.000000	0.949463	0.000000	0.050537	112.995372	nan	nan	0.390625	0.000000	0.000000	0.020000	0.000000	0.020000	nan	nan	nan	None
dlrm	MPSPhaseRep	2.000000	65536	SP_02_S100_C800m	None	0.000000	0.000000	0.002389	0.005089	0.000746	0.000028	0.002119	94.742500	0.000000	5.257500	0.949463	0.000000	0.050537	496.096368	0.000000	9.691887	0.370088	0.000000	0.020537	0.020000	0.000000	0.020000	nan	nan	nan	None
dlrm	MPSPhaseCollAsymm	2.000000	65536	SP_02_S100_C800m	0.850000	0.000000	0.000000	0.001608	0.004301	0.000825	0.000222	0.001351	92.280000	4.760000	2.960000	0.919201	0.060321	0.020479	436.931818	83.755631	8.558475	0.360469	0.018594	0.011562	0.019668	0.081123	0.100791	nan	nan	nan	None
dcn	CliqPart	2.000000	65536	SP_02_S100_C800m	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.020000	0	0.020000	nan	nan	nan	None
dcn	MPSPhaseCliqPart	2.000000	65536	SP_02_S100_C800m	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.020000	0	0.020000	nan	nan	nan	None
dcn	Rep	2.000000	65536	SP_02_S100_C800m	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.020000	0	0.020000	nan	nan	nan	None
dcn	MPSPhaseRep	2.000000	65536	SP_02_S100_C800m	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.020000	0	0.020000	nan	nan	nan	None
dcn	MPSPhaseCollAsymm	2.000000	65536	SP_02_S100_C800m	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.020000	0	0.020000	nan	nan	nan	None
dlrm	CliqPart	4.000000	65536	SP_02_S100_C800m	None	0.000000	0.000000	0.002653	0.005308	0.002387	0.000000	0.000000	100.000000	0.000000	0.000000	0.125000	0.875000	0.000000	163.646837	nan	nan	0.390625	0.000000	0.000000	0.040000	0.280000	0.320000	nan	nan	nan	None
dlrm	MPSPhaseCliqPart	4.000000	65536	SP_02_S100_C800m	None	0.000000	0.000000	0.001557	0.004274	0.001269	0.001266	0.000943	12.280000	85.970000	1.750000	0.125000	0.875000	0.000000	37.800433	265.260910	7.249138	0.047969	0.335820	0.006836	0.040000	0.280000	0.320000	nan	nan	nan	None
dlrm	Rep	4.000000	65536	SP_02_S100_C800m	None	0.000000	0.000000	0.003381	0.006050	0.003133	0.000000	0.000000	100.000000	0.000000	0.000000	0.962751	0.000000	0.037249	124.680817	nan	nan	0.390625	0.000000	0.000000	0.040000	0.000000	0.040000	nan	nan	nan	None
dlrm	MPSPhaseRep	4.000000	65536	SP_02_S100_C800m	None	0.000000	0.000000	0.002015	0.004704	0.000784	0.000030	0.001743	95.867500	0.000000	4.132500	0.962753	0.000000	0.037247	477.656150	0.000000	9.261376	0.374482	0.000000	0.016143	0.040000	0.000000	0.040000	nan	nan	nan	None
dlrm	MPSPhaseCollAsymm	4.000000	65536	SP_02_S100_C800m	6.690000	0.000000	0.000000	0.001312	0.004023	0.000900	0.000288	0.001055	93.597500	4.442500	1.960000	0.938378	0.060721	0.000901	406.239149	60.255263	7.257109	0.365615	0.017354	0.007656	0.039964	0.221339	0.261303	nan	nan	nan	None
dcn	CliqPart	4.000000	65536	SP_02_S100_C800m	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.040000	0	0.040000	nan	nan	nan	None
dcn	MPSPhaseCliqPart	4.000000	65536	SP_02_S100_C800m	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.040000	0	0.040000	nan	nan	nan	None
dcn	Rep	4.000000	65536	SP_02_S100_C800m	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.040000	0	0.040000	nan	nan	nan	None
dcn	MPSPhaseRep	4.000000	65536	SP_02_S100_C800m	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.040000	0	0.040000	nan	nan	nan	None
dcn	MPSPhaseCollAsymm	4.000000	65536	SP_02_S100_C800m	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.040000	0	0.040000	nan	nan	nan	None
dlrm	CliqPart	8.000000	65536	SP_02_S100_C800m	None	0.000000	0.000000	0.002478	0.005155	0.002204	0.000000	0.000000	100.000000	0.000000	0.000000	0.125000	0.875000	0.000000	177.234574	nan	nan	0.390625	0.000000	0.000000	0.080000	0.560000	0.640000	nan	nan	nan	None
dlrm	MPSPhaseCliqPart	8.000000	65536	SP_02_S100_C800m	None	0.000000	0.000000	0.001617	0.004350	0.001319	0.001316	0.000655	12.385000	86.702500	0.912500	0.125000	0.875000	0.000000	36.678473	257.356870	5.441913	0.048379	0.338682	0.003564	0.080000	0.560000	0.640000	nan	nan	nan	None
dlrm	Rep	8.000000	65536	SP_02_S100_C800m	None	0.000000	0.000000	0.003065	0.005714	0.002813	0.000000	0.000000	100.000000	0.000000	0.000000	0.975326	0.000000	0.024674	138.864202	nan	nan	0.390625	0.000000	0.000000	0.080000	0.000000	0.080000	nan	nan	nan	None
dlrm	MPSPhaseRep	8.000000	65536	SP_02_S100_C800m	None	0.000000	0.000000	0.001733	0.004418	0.000815	0.000027	0.001457	96.730000	0.000000	3.270000	0.975328	0.000000	0.024672	463.621549	0.000000	8.766944	0.377852	0.000000	0.012773	0.080000	0.000000	0.080000	nan	nan	nan	None
dlrm	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	7.100000	0.000000	0.000000	0.001480	0.004190	0.001104	0.000390	0.001216	96.455000	1.585000	1.960000	0.970953	0.028146	0.000901	341.283826	15.875401	6.296258	0.376777	0.006191	0.007656	0.079954	0.181382	0.261336	nan	nan	nan	None
dcn	CliqPart	8.000000	65536	SP_02_S100_C800m	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.080000	0	0.080000	nan	nan	nan	None
dcn	MPSPhaseCliqPart	8.000000	65536	SP_02_S100_C800m	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.080000	0	0.080000	nan	nan	nan	None
dcn	Rep	8.000000	65536	SP_02_S100_C800m	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.080000	0	0.080000	nan	nan	nan	None
dcn	MPSPhaseRep	8.000000	65536	SP_02_S100_C800m	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.080000	0	0.080000	nan	nan	nan	None
dcn	MPSPhaseCollAsymm	8.000000	65536	SP_02_S100_C800m	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.080000	0	0.080000	nan	nan	nan	None
dlrm	CliqPart	12.000000	65536	SP_02_S100_C800m	None	0.000000	0.000000	0.002098	0.004778	0.001847	0.000000	0.000000	100.000000	0.000000	0.000000	0.125000	0.875000	0.000000	211.491608	nan	nan	0.390625	0.000000	0.000000	0.120000	0.840000	0.960000	nan	nan	nan	None
dlrm	MPSPhaseCliqPart	12.000000	65536	SP_02_S100_C800m	None	0.000000	0.000000	0.001490	0.004241	0.001217	0.001214	0.000093	12.490547	87.435000	0.074453	0.125000	0.875000	0.000000	40.091371	281.336877	3.127231	0.048791	0.341543	0.000291	0.120000	0.840000	0.960000	nan	nan	nan	None
dlrm	Rep	12.000000	65536	SP_02_S100_C800m	None	0.000000	0.000000	0.002935	0.005593	0.002696	0.000000	0.000000	100.000000	0.000000	0.000000	0.982752	0.000000	0.017248	144.890579	nan	nan	0.390625	0.000000	0.000000	0.120000	0.000000	0.120000	nan	nan	nan	None
dlrm	MPSPhaseRep	12.000000	65536	SP_02_S100_C800m	None	0.000000	0.000000	0.001580	0.004261	0.000831	0.000027	0.001317	97.157500	0.000000	2.842500	0.982750	0.000000	0.017250	456.704554	0.000000	8.430915	0.379521	0.000000	0.011104	0.120000	0.000000	0.120000	nan	nan	nan	None
dlrm	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	14.610000	0.000000	0.000000	0.001512	0.004212	0.001142	0.000364	0.001248	97.140000	0.900000	1.960000	0.981556	0.017543	0.000901	332.270687	9.658310	6.134816	0.379453	0.003516	0.007656	0.119169	0.142151	0.261320	nan	nan	nan	None
dcn	CliqPart	12.000000	65536	SP_02_S100_C800m	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.120000	0	0.120000	nan	nan	nan	None
dcn	MPSPhaseCliqPart	12.000000	65536	SP_02_S100_C800m	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.120000	0	0.120000	nan	nan	nan	None
dcn	Rep	12.000000	65536	SP_02_S100_C800m	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.120000	0	0.120000	nan	nan	nan	None
dcn	MPSPhaseRep	12.000000	65536	SP_02_S100_C800m	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.120000	0	0.120000	nan	nan	nan	None
dcn	MPSPhaseCollAsymm	12.000000	65536	SP_02_S100_C800m	None	None	None	nan	nan	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.120000	0	0.120000	nan	nan	nan	None
