short_app	policy_impl	cache_percentage	global_batch_size	dataset_short	coll_cache:solve_time	Step(average) L2 feat copy	Step(average) L1 train total	Step(average) L1 sample	Step(average) L1 recv	Time.L	Time.R	Time.C	Wght.L	Wght.R	Wght.C	optimal_local_rate	optimal_remote_rate	optimal_cpu_rate	Thpt.L	Thpt.R	Thpt.C	SizeGB.L	SizeGB.R	SizeGB.C	coll_cache:local_cache_rate	coll_cache:remote_cache_rate	coll_cache:global_cache_rate	train_process_time	epoch_time:train_total	epoch_time:copy_time	coll_cache:z
dlrm	CliqPart	2.000000	65536	SP_02_S100_C800m	None	0.006780	0.012281	0.000000	0.000000	0.006296	0.000000	0.000000	100.000000	0.000000	0.000000	0.243833	0.731498	0.024670	62.043361	nan	nan	0.390625	0.000000	0.000000	0.020000	0.060000	0.080000	nan	nan	nan	None
dlrm	MPSPhaseCliqPart	2.000000	65536	SP_02_S100_C800m	None	0.004527	0.010198	0.000000	0.000000	0.001751	0.002253	0.002701	24.182500	72.547500	3.270000	0.243832	0.731497	0.024670	53.947967	125.782810	4.729151	0.094463	0.283389	0.012773	0.020000	0.060000	0.080000	nan	nan	nan	None
dlrm	Rep	2.000000	65536	SP_02_S100_C800m	None	0.006167	0.011559	0.000000	0.000000	0.005685	0.000000	0.000000	100.000000	0.000000	0.000000	0.949467	0.000000	0.050533	68.711522	nan	nan	0.390625	0.000000	0.000000	0.020000	0.000000	0.020000	nan	nan	nan	None
dlrm	MPSPhaseRep	2.000000	65536	SP_02_S100_C800m	None	0.005390	0.010936	0.000000	0.000000	0.001269	0.000000	0.004870	94.742500	0.000000	5.257500	0.949462	0.000000	0.050538	291.637424	nan	4.217066	0.370088	0.000000	0.020537	0.020000	0.000000	0.020000	nan	nan	nan	None
dlrm	CollAsymm	2.000000	65536	SP_02_S100_C800m	40.170000	0.006286	0.011803	0.000000	0.000000	0.005814	0.000000	0.000000	100.000000	0.000000	0.000000	0.411761	0.562393	0.025846	67.186963	nan	nan	0.390625	0.000000	0.000000	0.019931	0.055241	0.075171	nan	nan	nan	None
dlrm	MPSPhaseCollAsymm	2.000000	65536	SP_02_S100_C800m	53.440000	0.003898	0.009488	0.000000	0.000000	0.001229	0.001982	0.002990	31.417500	65.192500	3.390000	0.485383	0.488051	0.026565	99.857290	128.485471	4.428825	0.122725	0.254658	0.013242	0.019939	0.053005	0.072944	nan	nan	nan	None
dlrm	SOK	2.000000	65536	SP_02_S100_C800m	None	0.014038	0.019912	0.000000	0.000000	0.000000	0.000000	0.001597	nan	nan	nan	None	None	None	nan	nan	0.000000	0.000000	0.000000	0.000000	0.020000	0	0.020000	nan	nan	nan	None
dlrm	HPS	2.000000	65536	SP_02_S100_C800m	None	0.012075	0.017813	0.000000	0.000000	0.000000	0.000000	0.000000	nan	nan	nan	None	None	None	nan	nan	nan	0.000000	0.000000	0.000000	0.020000	0	0.020000	nan	nan	nan	None
dcn	CliqPart	2.000000	65536	SP_02_S100_C800m	None	0.006540	0.039765	0.000000	0.000000	0.006033	0.000000	0.000000	100.000000	0.000000	0.000000	0.243833	0.731498	0.024670	64.748052	nan	nan	0.390625	0.000000	0.000000	0.020000	0.060000	0.080000	nan	nan	nan	None
dcn	MPSPhaseCliqPart	2.000000	65536	SP_02_S100_C800m	None	0.004427	0.037951	0.000000	0.000000	0.001680	0.002213	0.002550	24.182500	72.547500	3.270000	0.243832	0.731496	0.024672	56.227911	128.056336	5.009191	0.094463	0.283389	0.012773	0.020000	0.060000	0.080000	nan	nan	nan	None
dcn	Rep	2.000000	65536	SP_02_S100_C800m	None	0.005251	0.038612	0.000000	0.000000	0.004751	0.000000	0.000000	100.000000	0.000000	0.000000	0.949464	0.000000	0.050536	82.219533	nan	nan	0.390625	0.000000	0.000000	0.020000	0.000000	0.020000	nan	nan	nan	None
dcn	MPSPhaseRep	2.000000	65536	SP_02_S100_C800m	None	0.004844	0.038277	0.000000	0.000000	0.001271	0.000000	0.004301	94.742500	0.000000	5.257500	0.949456	0.000000	0.050544	291.178513	nan	4.774961	0.370088	0.000000	0.020537	0.020000	0.000000	0.020000	nan	nan	nan	None
dcn	CollAsymm	2.000000	65536	SP_02_S100_C800m	41.020000	0.006184	0.039496	0.000000	0.000000	0.005697	0.000000	0.000000	100.000000	0.000000	0.000000	0.244622	0.729439	0.025939	68.566790	nan	nan	0.390625	0.000000	0.000000	0.019943	0.055553	0.075496	nan	nan	nan	None
dcn	MPSPhaseCollAsymm	2.000000	65536	SP_02_S100_C800m	79.480000	0.004261	0.037783	0.000000	0.000000	0.001501	0.002218	0.002609	26.247500	70.450000	3.302500	0.347100	0.627679	0.025222	68.307326	124.073631	4.944573	0.102529	0.275195	0.012900	0.019996	0.057758	0.077754	nan	nan	nan	None
dcn	SOK	2.000000	65536	SP_02_S100_C800m	None	0.014653	0.051365	0.000000	0.000000	0.000000	0.000000	0.001631	nan	nan	nan	None	None	None	nan	nan	0.000000	0.000000	0.000000	0.000000	0.020000	0	0.020000	nan	nan	nan	None
dcn	HPS	2.000000	65536	SP_02_S100_C800m	None	0.011815	0.045210	0.000000	0.000000	0.000000	0.000000	0.000000	nan	nan	nan	None	None	None	nan	nan	nan	0.000000	0.000000	0.000000	0.020000	0	0.020000	nan	nan	nan	None
dlrm	CliqPart	4.000000	65536	SP_02_S100_C800m	None	0.006484	0.011970	0.000000	0.000000	0.006002	0.000000	0.000000	100.000000	0.000000	0.000000	0.246908	0.740725	0.012367	65.082473	nan	nan	0.390625	0.000000	0.000000	0.040000	0.120000	0.160000	nan	nan	nan	None
dlrm	MPSPhaseCliqPart	4.000000	65536	SP_02_S100_C800m	None	0.004593	0.010276	0.000000	0.000000	0.001776	0.002294	0.002121	24.350000	73.055000	2.595000	0.246909	0.740726	0.012366	53.556975	124.398907	4.779217	0.095117	0.285371	0.010137	0.040000	0.120000	0.160000	nan	nan	nan	None
dlrm	Rep	4.000000	65536	SP_02_S100_C800m	None	0.005054	0.010451	0.000000	0.000000	0.004568	0.000000	0.000000	100.000000	0.000000	0.000000	0.962750	0.000000	0.037250	85.513354	nan	nan	0.390625	0.000000	0.000000	0.040000	0.000000	0.040000	nan	nan	nan	None
dlrm	MPSPhaseRep	4.000000	65536	SP_02_S100_C800m	None	0.004306	0.009845	0.000000	0.000000	0.001372	0.000000	0.003785	95.867500	0.000000	4.132500	0.962752	0.000000	0.037248	272.946372	nan	4.264882	0.374482	0.000000	0.016143	0.040000	0.000000	0.040000	nan	nan	nan	None
dlrm	CollAsymm	4.000000	65536	SP_02_S100_C800m	200.010000	0.006223	0.011787	0.000000	0.000000	0.005727	0.000000	0.000000	100.000000	0.000000	0.000000	0.237919	0.748403	0.013678	68.207613	nan	nan	0.390625	0.000000	0.000000	0.039589	0.118456	0.158044	nan	nan	nan	None
dlrm	MPSPhaseCollAsymm	4.000000	65536	SP_02_S100_C800m	200.020000	0.005641	0.011199	0.000000	0.000000	0.001311	0.003468	0.004898	27.400000	67.435000	5.165000	0.272106	0.689444	0.038451	81.640923	75.956738	4.119188	0.107031	0.263418	0.020176	0.039707	0.117143	0.156850	nan	nan	nan	None
dlrm	SOK	4.000000	65536	SP_02_S100_C800m	None	0.014137	0.019906	0.000000	0.000000	0.000000	0.000000	0.001600	nan	nan	nan	None	None	None	nan	nan	0.000000	0.000000	0.000000	0.000000	0.040000	0	0.040000	nan	nan	nan	None
dlrm	HPS	4.000000	65536	SP_02_S100_C800m	None	0.010651	0.016342	0.000000	0.000000	0.000000	0.000000	0.000000	nan	nan	nan	None	None	None	nan	nan	nan	0.000000	0.000000	0.000000	0.040000	0	0.040000	nan	nan	nan	None
dcn	CliqPart	4.000000	65536	SP_02_S100_C800m	None	0.006291	0.039449	0.000000	0.000000	0.005795	0.000000	0.000000	100.000000	0.000000	0.000000	0.246908	0.740723	0.012370	67.407248	nan	nan	0.390625	0.000000	0.000000	0.040000	0.120000	0.160000	nan	nan	nan	None
dcn	MPSPhaseCliqPart	4.000000	65536	SP_02_S100_C800m	None	0.004526	0.037958	0.000000	0.000000	0.001727	0.002270	0.002044	24.350000	73.055000	2.595000	0.246908	0.740725	0.012366	55.076542	125.714138	4.959256	0.095117	0.285371	0.010137	0.040000	0.120000	0.160000	nan	nan	nan	None
dcn	Rep	4.000000	65536	SP_02_S100_C800m	None	0.004666	0.038029	0.000000	0.000000	0.004161	0.000000	0.000000	100.000000	0.000000	0.000000	0.962756	0.000000	0.037244	93.877674	nan	nan	0.390625	0.000000	0.000000	0.040000	0.000000	0.040000	nan	nan	nan	None
dcn	MPSPhaseRep	4.000000	65536	SP_02_S100_C800m	None	0.003869	0.037367	0.000000	0.000000	0.001404	0.000000	0.003332	95.867500	0.000000	4.132500	0.962751	0.000000	0.037249	266.725372	nan	4.844711	0.374482	0.000000	0.016143	0.040000	0.000000	0.040000	nan	nan	nan	None
dcn	CollAsymm	4.000000	65536	SP_02_S100_C800m	200.050000	0.011720	0.044887	0.000000	0.000000	0.011220	0.000000	0.000000	100.000000	0.000000	0.000000	0.224074	0.664031	0.111895	34.815062	nan	nan	0.390625	0.000000	0.000000	0.039979	0.102608	0.142587	nan	nan	nan	None
dcn	MPSPhaseCollAsymm	4.000000	65536	SP_02_S100_C800m	200.010000	0.016352	0.049661	0.000000	0.000000	0.001093	0.002462	0.015794	24.120000	58.355000	17.525000	0.215571	0.620986	0.163443	86.201967	92.587010	4.334369	0.094219	0.227949	0.068457	0.039408	0.112116	0.151523	nan	nan	nan	None
dcn	SOK	4.000000	65536	SP_02_S100_C800m	None	nan	nan	None	None	0	0	nan	nan	nan	nan	None	None	None	nan	nan	nan	nan	0.000000	nan	0.040000	0	0.040000	nan	nan	nan	None
dcn	HPS	4.000000	65536	SP_02_S100_C800m	None	0.010445	0.043820	0.000000	0.000000	0.000000	0.000000	0.000000	nan	nan	nan	None	None	None	nan	nan	nan	0.000000	0.000000	0.000000	0.040000	0	0.040000	nan	nan	nan	None
